gml_id,kachel,kachelbezeichnung_dop20_ab_2015,kachelbezeichnung_dop20_bis_2014,geometry
APP_LGV_KACHEL_DOP20_1KM_UTM_1,4834,dop20rgb_32548_5934_1_hh_JAHR ,dop20c_32548_5934   ,"POLYGON ((9.724531373564549 53.55269236036253, 9.72468495076907 53.56168022618552, 9.739781185362046 53.56158781384705, 9.739624409626131 53.55259997816916, 9.724531373564549 53.55269236036253))"
APP_LGV_KACHEL_DOP20_1KM_UTM_2,4835,dop20rgb_32548_5935_1_hh_JAHR ,dop20c_32548_5935   ,"POLYGON ((9.72468495076907 53.56168022618552, 9.724838610889575 53.570668078115, 9.739938045740379 53.57057563561873, 9.739781185362046 53.56158781384705, 9.72468495076907 53.56168022618552))"
APP_LGV_KACHEL_DOP20_1KM_UTM_3,4836,dop20rgb_32548_5936_1_hh_JAHR ,dop20c_32548_5936   ,"POLYGON ((9.724838610889575 53.570668078115, 9.724992353986334 53.57965591615206, 9.740094990822646 53.57956344348522, 9.739938045740379 53.57057563561873, 9.724838610889575 53.570668078115))"
APP_LGV_KACHEL_DOP20_1KM_UTM_4,4837,dop20rgb_32548_5937_1_hh_JAHR ,dop20c_32548_5937   ,"POLYGON ((9.724992353986334 53.57965591615206, 9.725146180119657 53.58864374029785, 9.740252020670424 53.58855123744766, 9.740094990822646 53.57956344348522, 9.724992353986334 53.57965591615206))"
APP_LGV_KACHEL_DOP20_1KM_UTM_5,4934,dop20rgb_32549_5934_1_hh_JAHR ,dop20c_32549_5934   ,"POLYGON ((9.739624409626131 53.55259997816916, 9.739781185362046 53.56158781384705, 9.754877335312614 53.56149349649451, 9.754717361106756 53.55250569158294, 9.739624409626131 53.55259997816916))"
APP_LGV_KACHEL_DOP20_1KM_UTM_6,4935,dop20rgb_32549_5935_1_hh_JAHR ,dop20c_32549_5935   ,"POLYGON ((9.739781185362046 53.56158781384705, 9.739938045740379 53.57057563561873, 9.75503739588726 53.57048128748679, 9.754877335312614 53.56149349649451, 9.739781185362046 53.56158781384705))"
APP_LGV_KACHEL_DOP20_1KM_UTM_7,4936,dop20rgb_32549_5936_1_hh_JAHR ,dop20c_32549_5936   ,"POLYGON ((9.739938045740379 53.57057563561873, 9.740094990822646 53.57956344348522, 9.755197542893464 53.57946906456093, 9.75503739588726 53.57048128748679, 9.739938045740379 53.57057563561873))"
APP_LGV_KACHEL_DOP20_1KM_UTM_8,4937,dop20rgb_32549_5937_1_hh_JAHR ,dop20c_32549_5937   ,"POLYGON ((9.740094990822646 53.57956344348522, 9.740252020670424 53.58855123744766, 9.755357776394058 53.58845682771796, 9.755197542893464 53.57946906456093, 9.740094990822646 53.57956344348522))"
APP_LGV_KACHEL_DOP20_1KM_UTM_9,4938,dop20rgb_32549_5938_1_hh_JAHR ,dop20c_32549_5938   ,"POLYGON ((9.740252020670424 53.58855123744766, 9.740409135345345 53.59753901750714, 9.755518096451935 53.59744457695898, 9.755357776394058 53.58845682771796, 9.740252020670424 53.58855123744766))"
APP_LGV_KACHEL_DOP20_1KM_UTM_10,4939,dop20rgb_32549_5939_1_hh_JAHR ,dop20c_32549_5939   ,"POLYGON ((9.740409135345345 53.59753901750714, 9.74056633490911 53.60652678366476, 9.755678503130049 53.60643231228516, 9.755518096451935 53.59744457695898, 9.740409135345345 53.59753901750714))"
APP_LGV_KACHEL_DOP20_1KM_UTM_11,4940,dop20rgb_32549_5940_1_hh_JAHR ,dop20c_32549_5940   ,"POLYGON ((9.74056633490911 53.60652678366476, 9.740723619423479 53.6155145359217, 9.755838996491422 53.61542003369755, 9.755678503130049 53.60643231228516, 9.74056633490911 53.60652678366476))"
APP_LGV_KACHEL_DOP20_1KM_UTM_12,4941,dop20rgb_32549_5941_1_hh_JAHR ,dop20c_32549_5941   ,"POLYGON ((9.740723619423479 53.6155145359217, 9.740880988950268 53.62450227427898, 9.755999576599129 53.62440774119725, 9.755838996491422 53.61542003369755, 9.740723619423479 53.6155145359217))"
APP_LGV_KACHEL_DOP20_1KM_UTM_13,5028,dop20rgb_32550_5928_1_hh_JAHR ,dop20c_32550_5928   ,"POLYGON ((9.753759326108987 53.4985785697479, 9.75391878341677 53.50756645819799, 9.768995682405984 53.50747042398267, 9.768833037022555 53.49848256684084, 9.753759326108987 53.4985785697479))"
APP_LGV_KACHEL_DOP20_1KM_UTM_14,5029,dop20rgb_32550_5929_1_hh_JAHR ,dop20c_32550_5929   ,"POLYGON ((9.75391878341677 53.50756645819799, 9.754078326718034 53.51655433272224, 9.769158415501703 53.51645826718548, 9.768995682405984 53.50747042398267, 9.75391878341677 53.50756645819799))"
APP_LGV_KACHEL_DOP20_1KM_UTM_15,5030,dop20rgb_32550_5930_1_hh_JAHR ,dop20c_32550_5930   ,"POLYGON ((9.754078326718034 53.51655433272224, 9.754237956075174 53.52554219332178, 9.769321236373358 53.52544609645036, 9.769158415501703 53.51645826718548, 9.754078326718034 53.51655433272224))"
APP_LGV_KACHEL_DOP20_1KM_UTM_16,5031,dop20rgb_32550_5931_1_hh_JAHR ,dop20c_32550_5931   ,"POLYGON ((9.754237956075174 53.52554219332178, 9.754397671550652 53.53453003999768, 9.769484145084654 53.53443391177836, 9.769321236373358 53.52544609645036, 9.754237956075174 53.52554219332178))"
APP_LGV_KACHEL_DOP20_1KM_UTM_17,5032,dop20rgb_32550_5932_1_hh_JAHR ,dop20c_32550_5932   ,"POLYGON ((9.754397671550652 53.53453003999768, 9.754557473206983 53.54351787275102, 9.769647141699359 53.54342171317059, 9.769484145084654 53.53443391177836, 9.754397671550652 53.53453003999768))"
APP_LGV_KACHEL_DOP20_1KM_UTM_18,5034,dop20rgb_32550_5934_1_hh_JAHR ,dop20c_32550_5934   ,"POLYGON ((9.754717361106756 53.55250569158294, 9.754877335312614 53.56149349649451, 9.769973398894399 53.56139727415206, 9.76981022628131 53.55240950062814, 9.754717361106756 53.55250569158294))"
APP_LGV_KACHEL_DOP20_1KM_UTM_19,5035,dop20rgb_32550_5935_1_hh_JAHR ,dop20c_32550_5935   ,"POLYGON ((9.754877335312614 53.56149349649451, 9.75503739588726 53.57048128748679, 9.77013665960259 53.57038503374344, 9.769973398894399 53.56139727415206, 9.754877335312614 53.56149349649451))"
APP_LGV_KACHEL_DOP20_1KM_UTM_20,5036,dop20rgb_32550_5936_1_hh_JAHR ,dop20c_32550_5936   ,"POLYGON ((9.75503739588726 53.57048128748679, 9.755197542893464 53.57946906456093, 9.770300008469899 53.57937277940339, 9.77013665960259 53.57038503374344, 9.75503739588726 53.57048128748679))"
APP_LGV_KACHEL_DOP20_1KM_UTM_21,5037,dop20rgb_32550_5937_1_hh_JAHR ,dop20c_32550_5937   ,"POLYGON ((9.755197542893464 53.57946906456093, 9.755357776394058 53.58845682771796, 9.770463445560418 53.58836051113295, 9.770300008469899 53.57937277940339, 9.755197542893464 53.57946906456093))"
APP_LGV_KACHEL_DOP20_1KM_UTM_22,5038,dop20rgb_32550_5938_1_hh_JAHR ,dop20c_32550_5938   ,"POLYGON ((9.755357776394058 53.58845682771796, 9.755518096451935 53.59744457695898, 9.770626970938295 53.59734822893324, 9.770463445560418 53.58836051113295, 9.755357776394058 53.58845682771796))"
APP_LGV_KACHEL_DOP20_1KM_UTM_23,5039,dop20rgb_32550_5939_1_hh_JAHR ,dop20c_32550_5939   ,"POLYGON ((9.755518096451935 53.59744457695898, 9.755678503130049 53.60643231228516, 9.770790584667743 53.60633593280534, 9.770626970938295 53.59734822893324, 9.755518096451935 53.59744457695898))"
APP_LGV_KACHEL_DOP20_1KM_UTM_24,5040,dop20rgb_32550_5940_1_hh_JAHR ,dop20c_32550_5940   ,"POLYGON ((9.755678503130049 53.60643231228516, 9.755838996491422 53.61542003369755, 9.770954286813039 53.61532362275035, 9.770790584667743 53.60633593280534, 9.755678503130049 53.60643231228516))"
APP_LGV_KACHEL_DOP20_1KM_UTM_25,5041,dop20rgb_32550_5941_1_hh_JAHR ,dop20c_32550_5941   ,"POLYGON ((9.755838996491422 53.61542003369755, 9.755999576599129 53.62440774119725, 9.771118077438523 53.62431129876934, 9.770954286813039 53.61532362275035, 9.755838996491422 53.61542003369755))"
APP_LGV_KACHEL_DOP20_1KM_UTM_26,5042,dop20rgb_32550_5942_1_hh_JAHR ,dop20c_32550_5942   ,"POLYGON ((9.755999576599129 53.62440774119725, 9.756160243516316 53.63339543478534, 9.771281956608599 53.63329896086341, 9.771118077438523 53.62431129876934, 9.755999576599129 53.62440774119725))"
APP_LGV_KACHEL_DOP20_1KM_UTM_27,5127,dop20rgb_32551_5927_1_hh_JAHR ,dop20c_32551_5927   ,"POLYGON ((9.768670479287834 53.48949469575891, 9.768833037022555 53.49848256684084, 9.783906660287425 53.4983846633118, 9.783740916258141 53.48939682414434, 9.768670479287834 53.48949469575891))"
APP_LGV_KACHEL_DOP20_1KM_UTM_28,5128,dop20rgb_32551_5928_1_hh_JAHR ,dop20c_32551_5928   ,"POLYGON ((9.768833037022555 53.49848256684084, 9.768995682405984 53.50747042398267, 9.784072493682919 53.5073724885257, 9.783906660287425 53.4983846633118, 9.768833037022555 53.49848256684084))"
APP_LGV_KACHEL_DOP20_1KM_UTM_29,5129,dop20rgb_32551_5929_1_hh_JAHR ,dop20c_32551_5929   ,"POLYGON ((9.768995682405984 53.50747042398267, 9.769158415501703 53.51645826718548, 9.784238416509451 53.51636029978712, 9.784072493682919 53.5073724885257, 9.768995682405984 53.50747042398267))"
APP_LGV_KACHEL_DOP20_1KM_UTM_30,5130,dop20rgb_32551_5930_1_hh_JAHR ,dop20c_32551_5930   ,"POLYGON ((9.769158415501703 53.51645826718548, 9.769321236373358 53.52544609645036, 9.784404428831911 53.52534809709715, 9.784238416509451 53.51636029978712, 9.769158415501703 53.51645826718548))"
APP_LGV_KACHEL_DOP20_1KM_UTM_31,5131,dop20rgb_32551_5931_1_hh_JAHR ,dop20c_32551_5931   ,"POLYGON ((9.769321236373358 53.52544609645036, 9.769484145084654 53.53443391177836, 9.784570530715255 53.53433588045676, 9.784404428831911 53.52534809709715, 9.769321236373358 53.52544609645036))"
APP_LGV_KACHEL_DOP20_1KM_UTM_32,5132,dop20rgb_32551_5932_1_hh_JAHR ,dop20c_32551_5932   ,"POLYGON ((9.769484145084654 53.53443391177836, 9.769647141699359 53.54342171317059, 9.784736722224503 53.54332364986715, 9.784570530715255 53.53433588045676, 9.769484145084654 53.53443391177836))"
APP_LGV_KACHEL_DOP20_1KM_UTM_33,5133,dop20rgb_32551_5933_1_hh_JAHR ,dop20c_32551_5933   ,"POLYGON ((9.769647141699359 53.54342171317059, 9.76981022628131 53.55240950062814, 9.784903003424734 53.55231140532931, 9.784736722224503 53.54332364986715, 9.769647141699359 53.54342171317059))"
APP_LGV_KACHEL_DOP20_1KM_UTM_34,5134,dop20rgb_32551_5934_1_hh_JAHR ,dop20c_32551_5934   ,"POLYGON ((9.76981022628131 53.55240950062814, 9.769973398894399 53.56139727415206, 9.785069374381099 53.56129914684436, 9.784903003424734 53.55231140532931, 9.76981022628131 53.55240950062814))"
APP_LGV_KACHEL_DOP20_1KM_UTM_35,5135,dop20rgb_32551_5935_1_hh_JAHR ,dop20c_32551_5935   ,"POLYGON ((9.769973398894399 53.56139727415206, 9.77013665960259 53.57038503374344, 9.785235835158808 53.57028687441335, 9.785069374381099 53.56129914684436, 9.769973398894399 53.56139727415206))"
APP_LGV_KACHEL_DOP20_1KM_UTM_36,5136,dop20rgb_32551_5936_1_hh_JAHR ,dop20c_32551_5936   ,"POLYGON ((9.77013665960259 53.57038503374344, 9.770300008469899 53.57937277940339, 9.78540238582314 53.57927458803733, 9.785235835158808 53.57028687441335, 9.77013665960259 53.57038503374344))"
APP_LGV_KACHEL_DOP20_1KM_UTM_37,5137,dop20rgb_32551_5937_1_hh_JAHR ,dop20c_32551_5937   ,"POLYGON ((9.770300008469899 53.57937277940339, 9.770463445560418 53.58836051113295, 9.785569026439433 53.58826228771738, 9.78540238582314 53.57927458803733, 9.770300008469899 53.57937277940339))"
