living_space,rooms,cold_rent,construction_year,quarter,city,postcode,heating_type,rent_per_square_meter,latitude,longitude,publish_year,publish_month,geometry,1km_tile,square_m_per_person
116.4,4.5,1453.2,1976.0,Farmsen-Berne,Hamburg,22159,6,14.975999999999999,53.59779278086435,10.121997352109794,2019,5,POINT (10.12199735210979 53.59779278086435),7439,36.27
98.4,3.5,1131.6,1982.0,Rahlstedt,Hamburg,22145,1,13.8,53.62468452926397,10.145269276629293,2019,4,POINT (10.14526927662929 53.62468452926397),7542,39.75
97.8,3.5,1128.0,2021.0,Langenhorn,Hamburg,22419,5,13.835999999999999,53.65458996529272,10.005657694021274,2019,2,POINT (10.00565769402127 53.65458996529272),6645,35.94
60.0,2.5,660.0,1964.0,Neugraben-Fischbek,Hamburg,21147,6,13.2,53.47968501784057,9.859130282717368,2019,1,POINT (9.859130282717368 53.47968501784057),5725,37.42
78.0,2.5,573.768,1970.0,Marmstorf,Hamburg,21077,7,8.832,53.44150328239415,9.95938067307467,2019,6,POINT (9.959380673074669 53.44150328239415),6321,43.13
60.0,2.5,660.0,1964.0,Neugraben-Fischbek,Hamburg,21147,6,13.2,53.47968501784057,9.859130282717368,2019,1,POINT (9.859130282717368 53.47968501784057),5725,37.42
92.36399999999999,2.5,924.0,1976.0,Eimsbüttel,Hamburg,20357,7,12.0,53.56876233864666,9.966410373828596,2019,2,POINT (9.966410373828596 53.56876233864666),6335,38.35
25.2,1.5,720.0,1963.0,Uhlenhorst,Hmaburg,22085,5,34.284,53.5728471011459,10.01320752632542,2019,4,POINT (10.01320752632542 53.5728471011459),6736,47.69
153.516,4.5,2568.0,2019.0,Winterhude,Hamburg,22303,7,20.076,53.59136166854757,10.035367494032279,2019,1,POINT (10.03536749403228 53.59136166854757),6838,41.84
82.44,3.5,930.0,1904.0,Harburg,Hamburg,21073,5,13.536,53.452713141224535,9.973793769414133,2019,5,POINT (9.973793769414133 53.45271314122454),6423,31.25
104.88,3.5,943.92,1984.0,Eißendorf,Hamburg,21075,5,10.8,53.45476421720855,9.948470398488952,2019,2,POINT (9.948470398488952 53.45476421720855),6223,38.77
144.0,4.5,2370.0,1906.0,Winterhude,Hamburg,22301,5,19.752,53.583095606935565,9.997841608036063,2019,4,POINT (9.997841608036063 53.58309560693557),6637,41.84
80.4,2.5,1092.0,2022.0,Poppenbüttel,Hammburg,22399,5,16.296,53.66495407810724,10.084609283027689,2019,2,POINT (10.08460928302769 53.66495407810724),7146,47.77
76.8,2.0,801.6,1954.0,Billstedt,Hamburg,22111,5,12.527999999999999,53.54080589619398,10.100659460961984,2019,4,POINT (10.10065946096198 53.54080589619398),7232,32.33
153.72,4.0,3228.0,2011.0,Uhlenhorst,Hamburg,22085,5,25.2,53.57404896283156,10.017707442346255,2019,1,POINT (10.01770744234626 53.57404896283156),6736,47.69
75.6,2.5,1134.0,2023.0,Groß Flottbek,Hamburg,22807,1,18.0,53.567917935530865,9.881252559675161,2019,3,POINT (9.881252559675161 53.56791793553086),5835,49.29
74.4,3.0,1188.0,1908.0,Winterhude,Hamburg,22299,7,19.164,53.599027307456424,10.00252668703028,2019,6,POINT (10.00252668703028 53.59902730745642),6639,41.84
115.2,3.5,2136.0,1928.0,Eimsbüttel,Hamburg,20357,7,22.248,53.57161392780712,9.967892677431747,2019,4,POINT (9.967892677431747 53.57161392780712),6436,38.35
67.332,3.5,774.324,1960.0,Eilbek,Hamburg,22089,7,13.8,53.56599727569129,10.048629235545247,2019,4,POINT (10.04862923554525 53.56599727569129),6935,38.37
109.2,4.0,982.8,1972.0,Ohlsdorf,Hamburg,22337,7,10.8,53.60931425526589,10.039165097354926,2019,2,POINT (10.03916509735493 53.60931425526589),6840,39.84
54.0,1.5,745.2,1955.0,Horn,Hamburg,22111,5,16.56,53.552589989457466,10.08053979890548,2019,2,POINT (10.08053979890548 53.55258998945747),7134,30.96
99.42,3.5,795.6,1971.0,Langenhorn,Hamburg,22419,5,9.6,53.65891559959272,10.015395340914168,2019,6,POINT (10.01539534091417 53.65891559959272),6746,35.94
76.176,2.5,487.524,2023.0,Eidelstedt,Hamburg,22523,5,7.68,53.604516754415684,9.900344261132117,2019,3,POINT (9.900344261132117 53.60451675441568),5939,37.07
61.2,2.0,540.0,1983.0,Niendorf,Hamburg-Niendorf,22455,1,10.584000000000001,53.63541769427787,9.954635462341841,2019,6,POINT (9.954635462341841 53.63541769427787),6343,43.54
63.408,1.5,971.4119999999999,2003.0,Eppendorf,Hamburg,20249,7,18.384,53.5900724583158,9.98651175160197,2019,6,POINT (9.98651175160197 53.5900724583158),6538,46.44
66.936,3.0,737.64,1956.0,Hamm-Mitte,Hamburg,20537,7,13.224,53.552647156704005,10.059858046000487,2019,5,POINT (10.05985804600049 53.552647156704),7034,35.77
75.852,3.5,884.148,1963.0,Horn,Hamburg,22119,7,13.992,53.55978281856046,10.09831582723765,2019,6,POINT (10.09831582723765 53.55978281856046),7235,30.96
72.0,2.5,864.0,1913.0,Groß Borstel,Hamburg,22453,6,14.4,53.60855312169896,9.976963906374037,2019,2,POINT (9.976963906374037 53.60855312169896),6440,40.88
62.4,2.5,660.0,1958.0,Marienthal,Hamburg - Marienthal,22043,6,12.696,53.56569288545322,10.074748963555596,2019,2,POINT (10.0747489635556 53.56569288545322),7135,47.29
81.96,2.5,1038.0,2022.0,Jenfeld,Hamburg / Jenfeld,22045,7,15.192,53.58280687274448,10.14076918368567,2019,1,POINT (10.14076918368567 53.58280687274448),7537,31.6
90.0,3.5,840.0,2000.0,Schnelsen,Hamburg-Schnelsen,22459,5,11.196,53.62520480096608,9.930191510808573,2019,6,POINT (9.930191510808573 53.62520480096608),6142,40.65
101.11200000000001,3.5,1466.124,2023.0,Rahlstedt,Hamburg,22143,5,17.4,53.606214730771185,10.157966681412516,2019,5,POINT (10.15796668141252 53.60621473077119),7640,39.75
59.952,2.5,418.464,1954.0,Hamm-Nord,Hamburg,20535,7,8.376,53.56247486012311,10.062594837083244,2019,1,POINT (10.06259483708324 53.56247486012311),7035,35.77
60.528,2.5,575.4,1939.0,Ohlsdorf,Hamburg,22337,7,11.412,53.6079497123341,10.032976086483032,2019,6,POINT (10.03297608648303 53.6079497123341),6840,39.84
72.0,2.5,460.8,2023.0,Farmsen-Berne,Hamburg,22159,1,7.68,53.611305359082145,10.117745703310002,2019,6,POINT (10.11774570331 53.61130535908215),7340,36.27
